Date,Margin,Short
2021-11-10,9164327.0,554344.0
2021-11-11,9182751.0,565600.0
2021-11-12,9197000.0,563756.0
2021-11-15,9238588.0,560119.0
2021-11-16,9225047.0,579380.0
2021-11-17,9345654.0,597660.0
2021-11-18,9360719.0,600833.0
2021-11-19,9377948.0,599246.0
2021-11-22,9352847.0,593978.0
2021-11-23,9286683.0,577537.0
2021-11-24,9370025.0,596068.0
2021-11-25,9385146.0,596062.0
2021-11-26,9212234.0,571756.0
2021-11-29,9186256.0,527381.0
2021-11-30,9270154.0,533005.0
2021-12-01,9331813.0,537534.0
2021-12-02,9368127.0,532762.0
2021-12-03,9400632.0,540693.0
2021-12-06,9405015.0,544691.0
2021-12-07,9436660.0,541673.0
2021-12-08,9424972.0,543249.0
2021-12-09,9449099.0,552139.0
2021-12-10,9445535.0,551060.0
2021-12-13,9370225.0,555178.0
2021-12-14,9259897.0,538260.0
2021-12-15,9314238.0,555505.0
2021-12-16,9364755.0,540446.0
2021-12-17,9357900.0,535318.0
2021-12-20,9362290.0,538259.0
2021-12-21,9400934.0,532432.0
2021-12-22,9410820.0,529180.0
2021-12-23,9428490.0,532476.0
2021-12-24,9427566.0,527298.0
2021-12-27,9452573.0,527225.0
2021-12-28,9423464.0,524513.0
2021-12-29,9419786.0,532418.0
2021-12-30,9412350.0,483893.0
2022-01-03,9366723.0,477111.0
2022-01-04,9389890.0,476455.0
2022-01-05,9402969.0,472606.0
2022-01-06,9382148.0,470429.0
2022-01-07,9309706.0,460986.0
2022-01-10,9284981.0,462341.0
2022-01-11,9262104.0,454602.0
2022-01-12,9232224.0,454884.0
2022-01-13,9289112.0,454685.0
2022-01-14,9232324.0,434108.0
2022-01-17,9246396.0,436672.0
2022-01-18,9232817.0,446870.0
2022-01-19,9148737.0,463493.0
2022-01-20,9127529.0,471847.0
2022-01-21,9012563.0,453378.0
2022-01-24,8927867.0,440089.0
2022-01-25,8820633.0,419327.0
2022-01-26,8698047.0,397869.0
2022-02-07,8769378.0,408280.0
2022-02-08,8819200.0,422254.0
2022-02-09,8828641.0,438822.0
2022-02-10,8860874.0,451353.0
2022-02-11,8877687.0,460592.0
2022-02-14,7399737.0,630826.0
2022-02-15,8872405.0,463798.0
2022-02-16,8890187.0,471498.0
2022-02-17,8953684.0,492284.0
2022-02-18,9008085.0,495185.0
2022-02-21,9047855.0,472224.0
2022-02-22,8976337.0,452166.0
2022-02-23,9038708.0,480971.0
2022-02-24,8858979.0,454160.0
2022-02-25,8852134.0,450495.0
2022-03-01,8861100.0,446978.0
2022-03-02,8884459.0,445783.0
2022-03-03,8930204.0,444861.0
2022-03-04,8931589.0,434773.0
2022-03-07,8758940.0,413462.0
2022-03-08,8576960.0,397169.0
2022-03-09,8627623.0,404498.0
2022-03-10,8634894.0,398265.0
